Customer_ID,Purchase_Frequency,Avg_Order_Value,total_spending,customer_lifetime,Bread_Type,Location,payment_method,satisfaction,Loyalty_Score,Feedback_Score,segment
C0001,4,60581,789556,8,White Bread,Kampala Central,Mobile Money,2.2,10.0,3.0,1
C0002,5,128929,792095,40,Multigrain,Kampala Central,Mobile Money,1.5,3.3,3.3,0
C0003,3,63051,860109,4,Sourdough,Mukono,Cash,4.4,4.9,3.9,1
C0004,5,91474,180102,47,Whole Wheat,Mukono,Cash,2.4,5.7,1.4,2
C0005,5,131748,256570,31,White Bread,Kampala Central,Bank Transfer,3.6,3.7,4.0,1
C0006,2,109626,701153,28,Rye,Jinja,Cash,2.9,1.1,1.5,2
C0007,3,46960,787016,11,Whole Wheat,Entebbe,Cash,1.8,3.0,1.3,2
C0008,3,75772,167695,43,Whole Wheat,Mukono,Bank Transfer,3.4,3.5,4.9,1
C0009,3,61520,531116,1,Sourdough,Entebbe,Bank Transfer,1.2,5.0,4.8,1
C0010,5,89481,621608,49,White Bread,Gulu,Bank Transfer,2.7,2.5,1.2,2
C0011,4,76408,217235,47,Multigrain,Kampala Central,Cash,3.2,8.9,2.8,1
C0012,3,134006,540917,52,Rye,Jinja,Bank Transfer,2.7,7.3,1.7,0
C0013,6,97134,733065,38,White Bread,Gulu,Mobile Money,4.0,1.8,2.9,2
C0014,5,60491,119033,24,Rye,Gulu,Mobile Money,4.3,6.9,4.3,1
C0015,2,41341,616409,54,Whole Wheat,Gulu,Mobile Money,4.1,6.9,4.8,1
C0016,4,84623,766165,57,Sourdough,Kampala Central,Cash,1.2,9.6,3.5,1
C0017,6,130327,791211,47,Sourdough,Mukono,Mobile Money,1.8,1.0,2.4,2
C0018,6,40338,651120,31,Multigrain,Kampala Central,Cash,3.1,3.2,3.4,2
C0019,2,111431,294509,41,Sourdough,Mukono,Cash,4.7,9.4,2.2,0
C0020,4,52254,477869,46,Whole Wheat,Gulu,Mobile Money,4.3,9.4,4.6,1
C0021,5,91860,245016,50,Multigrain,Gulu,Bank Transfer,4.4,7.5,4.5,1
C0022,1,51344,382017,26,White Bread,Jinja,Cash,2.2,7.9,3.2,1
C0023,4,41750,664660,49,Sourdough,Mukono,Mobile Money,2.7,1.8,2.3,2
C0024,2,94756,189464,50,Multigrain,Gulu,Cash,2.9,5.6,2.2,0
C0025,6,107957,770739,5,Whole Wheat,Entebbe,Bank Transfer,1.6,3.1,1.1,2
C0026,5,145423,217322,20,Rye,Jinja,Bank Transfer,1.1,2.6,4.3,1
C0027,4,98053,792111,52,Rye,Kampala Central,Mobile Money,4.8,8.3,2.8,0
C0028,1,110855,986514,41,Whole Wheat,Jinja,Cash,2.0,2.2,2.3,0
C0029,1,55896,845182,11,Whole Wheat,Entebbe,Cash,2.0,5.2,2.9,2
C0030,3,95761,891542,56,Rye,Mukono,Cash,1.3,9.4,4.3,1
C0031,3,102552,547557,54,Multigrain,Kampala Central,Cash,4.7,2.7,1.5,2
C0032,2,117454,898519,33,Rye,Kampala Central,Mobile Money,3.3,9.8,4.4,1
C0033,4,130600,516978,50,Whole Wheat,Mukono,Bank Transfer,3.7,9.9,4.6,1
C0034,4,67935,969049,38,Sourdough,Jinja,Mobile Money,4.6,6.0,4.8,1
C0035,6,77641,724771,27,White Bread,Gulu,Cash,2.4,2.5,2.6,2
C0036,6,69711,623886,34,Sourdough,Jinja,Cash,3.5,3.8,1.9,2
C0037,6,110342,633884,15,Sourdough,Entebbe,Bank Transfer,1.2,4.8,2.5,2
C0038,3,146896,334627,32,Whole Wheat,Gulu,Cash,1.7,3.8,2.3,0
C0039,4,52182,731827,58,Rye,Jinja,Mobile Money,4.3,3.5,1.7,2
C0040,4,127833,642601,21,Multigrain,Mukono,Mobile Money,4.1,9.8,3.4,0
C0041,1,96276,999607,46,Sourdough,Entebbe,Bank Transfer,2.4,2.4,2.9,0
C0042,3,59541,821909,5,Rye,Entebbe,Mobile Money,2.5,7.6,4.5,1
C0043,5,134457,214914,6,Multigrain,Entebbe,Mobile Money,3.1,1.0,1.1,2
C0044,3,122310,647993,38,Sourdough,Gulu,Mobile Money,1.0,6.4,3.6,0
C0045,5,84813,822724,22,Multigrain,Kampala Central,Mobile Money,2.0,9.2,4.1,1
C0046,1,77198,959877,18,Rye,Gulu,Cash,1.8,3.6,4.0,1
C0047,2,48820,203892,14,White Bread,Jinja,Mobile Money,2.0,2.7,4.5,1
C0048,4,64070,834005,10,Rye,Kampala Central,Bank Transfer,4.2,6.9,3.9,1
C0049,1,109768,364167,46,Whole Wheat,Jinja,Bank Transfer,2.1,7.4,4.7,1
C0050,4,51122,743942,13,Multigrain,Kampala Central,Mobile Money,1.8,7.2,2.3,2
C0051,6,120559,290868,31,White Bread,Gulu,Bank Transfer,3.0,3.9,3.0,1
C0052,2,113543,180073,30,Multigrain,Entebbe,Mobile Money,4.5,3.3,1.1,0
C0053,2,123441,978629,3,Multigrain,Mukono,Bank Transfer,2.0,9.6,1.0,0
