CustomerID,Name,PurchaseFrequency,AvgSpending,Location,PreferredBreadType,Segment
C0001,Customer 1,7,12965,Mbarara,Whole Grain,1
C0002,Customer 2,15,11762,Mbarara,White Bread,0
C0003,Customer 3,11,7056,Kampala,White Bread,2
C0004,Customer 4,8,16948,Entebbe,Whole Grain,1
C0005,Customer 5,7,10110,Kampala,White Bread,1
C0006,Customer 6,19,15773,Fort Portal,Whole Grain,0
C0007,Customer 7,11,19412,Mbarara,Brown Bread,0
C0008,Customer 8,11,2502,Gulu,White Bread,2
C0009,Customer 9,4,8910,Gulu,Brown Bread,1
C0010,Customer 10,8,14685,Jinja,Whole Grain,1
C0011,Customer 11,3,2206,Mbale,Brown Bread,2
C0012,Customer 12,2,19868,Kampala,Brown Bread,1
C0013,Customer 13,12,17934,Kampala,Whole Grain,0
C0014,Customer 14,6,19247,Jinja,Brown Bread,1
C0015,Customer 15,2,10755,Jinja,Brown Bread,1
C0016,Customer 16,1,14383,Jinja,Whole Grain,1
C0017,Customer 17,12,16820,Mbarara,Brown Bread,0
C0018,Customer 18,12,9574,Fort Portal,Whole Grain,0
C0019,Customer 19,17,8374,Kampala,Brown Bread,0
C0020,Customer 20,10,3678,Mbarara,Whole Grain,2
C0021,Customer 21,16,3059,Jinja,Whole Grain,2
C0022,Customer 22,15,18198,Kampala,Brown Bread,0
C0023,Customer 23,15,11914,Mbarara,Brown Bread,0
C0024,Customer 24,19,12817,Fort Portal,Brown Bread,0
C0025,Customer 25,12,12921,Mbarara,White Bread,0
C0026,Customer 26,3,11789,Fort Portal,White Bread,1
C0027,Customer 27,5,18312,Jinja,White Bread,1
C0028,Customer 28,19,13252,Fort Portal,Whole Grain,0
C0029,Customer 29,7,4693,Kampala,Brown Bread,2
C0030,Customer 30,9,15931,Jinja,Whole Grain,1
C0031,Customer 31,7,5627,Kampala,White Bread,2
C0032,Customer 32,18,18157,Gulu,Brown Bread,0
C0033,Customer 33,4,12173,Entebbe,Whole Grain,1
C0034,Customer 34,14,12230,Fort Portal,Brown Bread,0
C0035,Customer 35,18,17707,Entebbe,Whole Grain,0
C0036,Customer 36,9,13494,Entebbe,Brown Bread,1
C0037,Customer 37,2,3306,Fort Portal,White Bread,2
C0038,Customer 38,15,8776,Jinja,White Bread,0
C0039,Customer 39,7,11474,Gulu,Brown Bread,1
C0040,Customer 40,12,9526,Kampala,Whole Grain,0
C0041,Customer 41,8,7530,Mbarara,White Bread,2
C0042,Customer 42,15,5748,Kampala,White Bread,2
C0043,Customer 43,3,15545,Mbarara,White Bread,1
C0044,Customer 44,14,2663,Kampala,Brown Bread,2
C0045,Customer 45,17,3998,Fort Portal,Brown Bread,2
